prompt_id,model,lever,judge_a_score,judge_b_score,delta,tier_2_criteria,response_text,human_score,judge_a_reasoning,judge_b_reasoning,human_note,arbitration_method
rea-009,gpt-5.4-mini-2026-03-17,compression,0.600,0.900,0.300,"Reasoning must check all three conditions explicitly: (a) 80 seats ≥ 50, (b) contract is annual, (c) signed 28 February 2025 which is before 31 March 2025; conclude eligible.","{""reasoning"":""The enterprise discount requires two conditions: at least 50 user seats and an annual contract signed before 31 March 2025. Customer C has 80 seats, which meets the seat requirement, and signed the annual contract on 28 February 2025, which is before 31 March 2025. Therefore, Customer C meets both conditions."",""final_answer"":""Eligible""}",0.750,"Same issue as B — merges conditions (b) and (c) into one, describing only 'two conditions' instead of explicitly checking all three. Correct final answer.","Correctly concludes eligibility and covers the annual/date facts together, but does not explicitly enumerate all three conditions separately.",,human
rea-016,gpt-5.4-mini-2026-03-17,baseline,0.000,0.300,0.300,"Reasoning must (a) verify conditions a, b, c are met, (b) compute the days between 25 January 2025 and 22 April 2025 as 87 days (6 days remaining in January after the 25th, plus 28 in February, plus 31 in March, plus 22 in April), (c) recognise 87 < 90 so condition d fails, and (d) ignore the irrelevant award and CEO information; conclude not eligible.","{""reasoning"":""Customer D meets the seat requirement with 140 seats. They are on an annual contract as of 10 March 2025. The renewal addendum was signed on 22 April 2025, which is before 30 April 2025. The most recent support escalation was on 25 January 2025, which is more than 90 days before 22 April 2025, so they had no escalations in the 90 days immediately preceding the signing date. The award and CEO tenure are irrelevant to the stated criteria. Therefore, Customer D satisfies all four requirements."",""final_answer"":""Eligible""}",0.150,"Incorrect final answer - wrongly claims 25 January is more than 90 days before 22 April, when it is actually only 87 days, leading to wrong eligibility determination.","Verifies some conditions and ignores irrelevant info, but gets the escalation timing wrong and gives the incorrect final answer.",AUTO: median canonical (|Δ|=0.300 ≤ 0.3 threshold),median_canonical_auto
rea-018,claude-haiku-4-5,output_cap,0.600,0.300,0.300,"Reasoning must apply the four steps in the stated order: (a) £400 × 0.88 = £352, (b) £352 × 1.20 = £422.40, (c) £422.40 − £30 = £392.40, and (d) free shipping does not change the total. Final answer £392.40.","```json
{
  ""reasoning"": ""Let me work through this step by step following Acme Co's policy.\n\nStarting position:\n- Subtotal excluding VAT: £400\n\nStep 1: Apply 12% loyalty discount to ex-VAT subtotal\n- Discount amount: £400 × 12% = £400 × 0.12 = £48\n- Post-discount ex-VAT subtotal: £400 - £48 = £352\n\nStep 2: Apply UK VAT of 20% to the post-discount ex-VAT subtotal\n- VAT amount: £352 × 20% = £352 × 0.20 = £70.40\n- VAT-inclusive amount: £352 + £70.40 = £422.40\n\nStep ",0.450,"The response is truncated mid-calculation and never provides a final answer, though the visible steps are correct up to the point of truncation.","Truncated and incomplete, covering only the initial steps and providing no final amount despite starting a JSON response.",AUTO: median canonical (|Δ|=0.300 ≤ 0.3 threshold),median_canonical_auto
cs-019,gpt-5.4-2026-03-05,output_cap,0.550,0.850,0.300,"Reply acknowledges that multiple issues were raised and signals the overall experience is being taken seriously, without committing to specific outcomes on any one item or promising compensation.","{""category"":""other"",""reply"":""Thanks for contacting us and for outlining the invoice question, delayed two-factor SMS codes, and your CSV import suggestion. We’ve received your message and will review the details across these items to investigate further.""}",0.700,"Acknowledges multiple issues and signals investigation without committing to outcomes, but doesn't address the overall experience or frustration; category 'other' is debatable but defensible.","Valid JSON and two-sentence reply covers all three issues and investigation, but only lightly addresses the overall rough experience and uses a less apt category.",AUTO: median canonical (|Δ|=0.300 < 0.3 threshold),median_canonical_auto
rea-010,gpt-5.4-2026-03-05,output_cap,0.850,0.550,0.300,"Reasoning must allocate tasks across two workers respecting the A-before-B constraint, identifying that Worker 1 can do A then B (4+3=7h, ending 16:00) and Worker 2 can do D then C (5+2=7h, ending 16:00); both finish at 16:00.","{""reasoning"":""We need minimize the makespan for 4 tasks on 2 identical workers.\n\nTasks and durations:\n- A = 4h\n- B = 3h, but only after A finishes\n- C = 2h\n- D = 5h\n\nTotal work = 4 + 3 + 2 + 5 = 14 hours.\nWith 2 workers, a lower bound on completion time is 14 / 2 = 7 hours.\nAnother lower bound comes from the precedence chain A -> B, which takes 4 + 3 = 7 hours.\nSo the makespan cannot be less than 7 hours.\n\nNow check if 7 hours is achievable.\nSchedule:\n- Worker 1: A from 09:00 to 13:00, then B from 13:00 to 16:00.\n- Worker 2: D from 09",0.700,"Correctly identifies both lower bounds (work/2 and A→B chain) and begins describing the optimal schedule, but the response is truncated before fully completing; however the reasoning shown is strong and implies 16:00.","Has correct lower bounds and starts the right schedule, but is truncated/invalid JSON and does not complete the allocation or final answer.",AUTO: median canonical (|Δ|=0.300 < 0.3 threshold),median_canonical_auto
cs-003,gpt-5.4-2026-03-05,output_cap,0.720,1.000,0.280,"Reply acknowledges the breadth of issues raised and indicates a serious internal review without committing to specific outcomes (no refund offers, no SLA promises, no claims about retention). Tone should match the escalated nature of the message.","{""category"":""complaint"",""reply"":""Thank you for your message and for outlining the issues you’ve experienced with performance, export failures, and the prior support response. We have received your feedback and will review the details internally to investigate the concerns you raised.""}",0.860,"Acknowledges breadth of issues and indicates internal review without commitments, but tone is somewhat routine and doesn't fully match the escalated nature of the message.","Correct category, valid JSON-only output, and a two-sentence reply that acknowledges all issues and indicates internal investigation without promises.",AUTO: median canonical (|Δ|=0.280 < 0.3 threshold),median_canonical_auto
rea-019,gpt-5.4-2026-03-05,compression,0.150,0.420,0.270,"Reasoning must (a) apply the procurement floor and exclude Coralwave (98.7% < 99.0%), reasoning only over Greendot and Bluestone; (b) for Greendot, compute extra-seat cost as 7 × £40 × 12 = £3,360, recognise the 0.2pp shortfall = 2 full 0.1pp blocks, compute the monthly SLA credit as 2 × 10% × £1,000 = £200 and annual credit as £2,400, giving expected effective £12,000 + £3,360 − £2,400 = £12,960; (c) for Bluestone, recognise 99.95% ≥ 99.9% commit means NO SLA credit applies, compute extra-seat cost as 2 × £30 × 12 = £720, giving expected effective £14,400 + £720 = £15,120; (d) compare and select Greendot at £12,960.00.","{""reasoning"":""Compute each vendor’s annual seat cost for 12 seats, then expected SLA credits using historical uptime as the estimator.\n\nInterpretation of pricing fields:\n- Vendor A: annual base cost £12,000; additional seat cost £5.40 per seat per month; SLA target 99.5%; credit 10% of monthly base fee for each full 0.1 percentage point shortfall; historical uptime 99.3%.\n- Vendor B: annual base cost £14,400; additional seat cost £10.30 per seat per month; SLA target 99.9%; credit 5% of monthly base fee for each full 0.1 percentage point shortfall; historical uptime 99.95%.\n- Vendor C: annual base cost £10,800; additional seat cost £8.35 per seat per month; SLA target 99.0%; credit 15% of monthly base fee for each full 0.1 percentage point shortfall; historical uptime 98.7%.\n\nEligibility rule: exclude any vendor with historical 12-month uptime below 99.0%.\n- A: 99.3% eligible.\n- B: 99.95% eligible.\n- C: 98.7% not eligible.\n\nNow calculate expected effective annual cost = annual base cost + annual seat cost − expected annual SLA credits.\n\nVendor A:\n- Annual seat cost = 12 seats × £5.40 × 12 months = £777.60.\n- Monthly base fee = £12,000 / 12 = £1,000.\n- Shortfall from SLA = 99.5% − 99.3% = 0.2 percentage points.\n- Number of full 0.1 point shortfalls = 2.\n- Monthly SLA credit = 2 × 10% × £1,000 = £200.\n- Annual SLA credits = £200 × 12 = £2,400.\n- Effective annual cost = £12,000 + £777.60 − £2,400 = £10,377.60.\n\nVendor B:\n- Annual seat cost = 12 × £10.30 × 12 = £1,483.20.\n- Monthly base fee = £14,400 / 12 = £1,200.\n- Historical uptime 99.95% exceeds 99.9% SLA, so no credit.\n- Annual SLA credits = £0.\n- Effective annual cost = £14,400 + £1,483.20 = £15,883.20.\n\nCompare eligible vendors:\n- A: £10,377.60\n- B: £15,883.20\n\nLowest expected effective annual cost is Vendor A Greendot."",""final_answer"":""Greendot, £10,377.60""}",0.285,"Correctly excludes Coralwave and gets SLA credits right, but uses bizarre seat costs (£5.40, £10.30) that don't match the problem statement at all, producing completely wrong additional seat costs and final answer of £10,377.60.","Correctly applies eligibility and SLA treatment, but misreads seat prices and charges all seats, producing incorrect effective costs and final amount.",AUTO: median canonical (|Δ|=0.270 < 0.3 threshold),median_canonical_auto
sum-013,claude-haiku-4-5,output_cap,0.720,0.450,0.270,"Must cover: (1) the incident itself (customer-visible dashboard degradation on 19 March 2026 with read availability around 71 percent and three Tier 1 SLA breaches); (2) what went well, including fast alerting and clean alert grouping, working rollback path, graceful frontend degradation, and timely initial customer comms; (3) what did not go well and the resulting action items, including the missing range check on the read-side cache configuration parameter, lack of CODEOWNERS-style controls, slow diagnosis, inconsistent customer-comms cadence, and runbook drift. Must accurately state: there was no data loss; the proximate cause was a configuration change with a parameter outside tested range; initial customer comms went out within 23 minutes. Must NOT: claim the rollback failed (it worked first time); claim Aravind was on duty (he joined from holiday); attribute the comms-cadence miss to Domingo (Tomislav explicitly took ownership).","• A configuration change deployed on 19 March caused customer-visible dashboard degradation for 3.5 hours, with read availability dropping to 71 percent and breaching SLA for three Tier 1 tenants; the root cause was a missing range check on a cache eviction parameter that passed type validation but fell outside tested operational ranges.

• Key process gaps contributed to the incident: the absence of a configuration-change review process and CODEOWNERS-style restrictions on the read-side service, a 22-minute delay in identifying the offending change despite rapid alerting, inconsistent customer communication cadence, and runbooks that were not re-validated against recently deployed service versions.

• Nine action items were agreed to address these gaps, including enforced range checks on configuration parameters, deploy-to-incident cross-reference tooling, a dedicated customer-communications role in the on-call rotation, quarterly runbook validation exercises, and propag",0.585,"Covers the incident, root cause, and process gaps well, but omits key 'what went well' items (fast alerting, rollback success, graceful degradation, timely comms), doesn't mention no data loss, and the response is cut off mid-sentence. Doesn't violate any 'must NOT' constraints.","Covers the incident cause and several gaps, but omits most required positives, no-data-loss and 23-minute comms facts, and is truncated with an incorrect action-item count.",AUTO: median canonical (|Δ|=0.270 < 0.3 threshold),median_canonical_auto
cs-016,gpt-5.4-2026-03-05,batch,0.720,0.980,0.260,"Reply acknowledges the duplicate charge on the customer's account and signals the report will be looked into, without confirming a systemic bug exists or promising a refund or fix.","{""category"":""billing"",""reply"":""Thanks for bringing this to our attention and for including the charge details and account information. We’ve received your report and will review the duplicate billing activity and investigate whether there may be a broader issue affecting other accounts.""}",0.850,"Acknowledges duplicate billing, signals investigation, doesn't promise refund or fix, but 'investigate whether there may be a broader issue' leans toward acknowledging the systemic bug claim more than ideal, though hedged with 'whether there may be'.",Meets the category and two-sentence acknowledgement requirements while appropriately noting investigation without promising an outcome.,AUTO: median canonical (|Δ|=0.260 < 0.3 threshold),median_canonical_auto
rag-006,claude-haiku-4-5,compression,0.300,0.550,0.250,Answer states 20 children as the cap; should not conflate with the age range (3 to 7) or other numbers in the context.,"```json
{
  ""answer"": ""20 children"",
  ""supporting_sentences"": [1]
}
```",0.425,"Correctly states 20 children but cites sentence [1] which is about the library serving residents, completely wrong supporting sentence, and wraps in markdown fences violating format.","The answer is correct, but the response includes disallowed markdown and cites an irrelevant sentence.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rea-019,gpt-5.4-mini-2026-03-17,compression,0.300,0.550,0.250,"Reasoning must (a) apply the procurement floor and exclude Coralwave (98.7% < 99.0%), reasoning only over Greendot and Bluestone; (b) for Greendot, compute extra-seat cost as 7 × £40 × 12 = £3,360, recognise the 0.2pp shortfall = 2 full 0.1pp blocks, compute the monthly SLA credit as 2 × 10% × £1,000 = £200 and annual credit as £2,400, giving expected effective £12,000 + £3,360 − £2,400 = £12,960; (c) for Bluestone, recognise 99.95% ≥ 99.9% commit means NO SLA credit applies, compute extra-seat cost as 2 × £30 × 12 = £720, giving expected effective £14,400 + £720 = £15,120; (d) compare and select Greendot at £12,960.00.","{""reasoning"":""First apply the procurement filter: Acme excludes any vendor with historical 12-month uptime below 99.0%. Vendor C (Coralwave) has 98.7%, so it is excluded. That leaves Vendor A (Greendot) and Vendor B (Bluestone).\n\nNow compute expected annual cost = annual base cost + 12 months of seat charges - expected SLA credits.\n\nVendor A:\n- Annual base cost: £12,000\n- Seat cost: £40 per seat per month × 12 seats × 12 months = £5,760\n- Total before credits = £17,760\n- SLA rule: 10% credit for each full 0.1 percentage point shortfall below 99.5%\n- Best estimator for next year = historical uptime 99.3%\n- Shortfall = 99.5% - 99.3% = 0.2 percentage points\n- Full 0.1-point shortfalls = 2\n- Credit rate = 2 × 10% = 20% of monthly base fee\n- Monthly base fee = £12,000 / 12 = £1,000\n- Expected annual credit = 20% × £1,000 × 12 = £2,400\n- Expected annual cost = £17,760 - £2,400 = £15,360\n\nVendor B:\n- Annual base cost: £14,400\n- Seat cost: £30 per seat per month × 12 seats × 12 months = £4,320\n- Total before credits = £18,720\n- SLA rule: 5% credit for each full 0.1 percentage point shortfall below 99.9%\n- Best estimator for next year = historical uptime 99.95%\n- Since uptime meets/exceeds 99.9%, no credit applies\n- Expected annual cost = £18,720\n\nCompare eligible vendors: A = £15,360, B = £18,720. Lowest expected annual cost is Vendor A."",""final_answer"":""Greendot — £15,360.00""}",0.425,"Correctly excludes Coralwave, correctly computes SLA credits, but incorrectly charges all 12 seats as additional rather than only the seats beyond included seats (7 for Greendot, 2 for Bluestone), giving wrong final answers of £15,360 and £18,720.","Valid JSON and correct eligibility/SLA logic, but incorrectly charges all 12 seats rather than only additional seats, so both costs and final amount are wrong.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
sum-006,gpt-5.4-2026-03-05,compression,0.300,0.550,0.250,"Must cover: (1) the consolidation of three internal teams — workplace, IT, and business systems — into a single Operations group; (2) that they will report to Customer X (whose role title, if mentioned, must be VP of Operations exactly as stated and not a different title such as COO, Chief Operating Officer, Director of Operations, or Head of Operations); (3) the effective date of 12 May and the reassurance that no roles are being eliminated and no day-to-day work is changing. Must accurately state: that the change is internal only and does not touch commercial, product, or customer-facing functions, and that this is not the start of a broader reorganisation. Must NOT (HALLUCINATION TRAP): misattribute Customer X's role — they are explicitly the VP of Operations, not the COO, CTO, CFO, Chief Operating Officer, or any other title; the model must either name the role correctly or omit it entirely. Must also not claim that any team is being eliminated, that compensation is changing, or that Customer X has remit over commercial or product operations.","- Effective 12 May, the workplace, IT, and business systems teams will be consolidated into a single Operations group reporting to Customer X, a new VP Operations who joined in early April. The change affects commercial and product organisations and is intended to reduce friction and improve accountability for internal employee experience.

- The workplace team of four, IT team of six, and business systems team of three will keep the same scope, with only their reporting lines moving from the COO, CTO, and CFO respectively to Customer X. No roles are being eliminated, and there are no changes to jobs, compensation, location, or working patterns.

- In the first 90 days after 12 May, Customer X will run a unified planning exercise for H2, simplify internal request intake from three forms and two ticketing systems to one by end of Q3, and refresh outdated internal SLAs before end of May. The company says this is not part of a broader reorganisation, with no other reporting-line changes planned next quarter.",0.425,"Critically states 'The change affects commercial and product organisations' which directly contradicts the document — the memo explicitly says it does NOT affect commercial or product organisations. This is a major factual error. Otherwise covers consolidation, VP Operations title, effective date, and no eliminations correctly.","Covers the consolidation, date, reporting, and no eliminations, but wrongly says the change affects commercial and product organisations and uses an imprecise title.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-009,gpt-5.4-mini-2026-03-17,baseline,0.750,1.000,0.250,Reply acknowledges the cancellation request and indicates the team will action it through the normal process without confirming the cancellation has happened.,"{""category"":""billing"",""reply"":""Thanks for reaching out. We’ve received your request to cancel the subscription for customer@example.com effective at the end of the current billing period, and we’re looking into it now.""}",0.875,"Acknowledges the cancellation request and says they're looking into it without confirming cancellation, but 'looking into it now' is slightly vague about the process; meets criteria reasonably well.",Fully compliant JSON with correct billing category and a two-sentence acknowledgement that indicates investigation without confirming cancellation.,AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-009,gpt-5.4-2026-03-05,compression,0.600,0.850,0.250,Reply acknowledges the cancellation request and indicates the team will action it through the normal process without confirming the cancellation has happened.,"{""category"":""billing"",""reply"":""We’ve received your message regarding your subscription and billing account, and we’re reviewing the details now. We’ll investigate this further and follow up as appropriate once we’ve looked into it.""}",0.725,Acknowledges receipt and indicates investigation but is vague about the cancellation request specifically; doesn't clearly reference the cancellation.,"Valid JSON with correct category and two-sentence noncommittal investigation reply, but it only references the subscription generally rather than cancellation.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-009,gpt-5.4-2026-03-05,output_cap,0.750,1.000,0.250,Reply acknowledges the cancellation request and indicates the team will action it through the normal process without confirming the cancellation has happened.,"{""category"":""billing"",""reply"":""We’ve received your request regarding your subscription for customer@example.com and have noted that you want it canceled at the end of the current billing period. Our team will review the account details and follow up as needed after investigating.""}",0.875,"Acknowledges the cancellation request and indicates investigation without confirming cancellation, but the reply is slightly awkward; valid JSON with no extra text.",Fully compliant JSON with correct billing category and a two-sentence acknowledgement that indicates review without confirming cancellation.,AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-010,gpt-5.4-mini-2026-03-17,baseline,0.650,0.900,0.250,"Reply acknowledges the unexpected early trial-end and the resulting charge, and indicates someone will investigate without asserting that the trial period was correctly applied or wrongly truncated.","{""category"":""billing"",""reply"":""Thanks for reaching out and for providing the account details. We’ve received your message and will investigate the trial timing and charge to determine what happened.""}",0.775,"Acknowledges receipt and promises investigation but does not explicitly mention the unexpected early trial-end or the resulting charge, making it too generic.","Valid JSON with proper classification and investigation language, though it only indirectly acknowledges the early trial end.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-010,gpt-5.4-mini-2026-03-17,output_cap,0.600,0.850,0.250,"Reply acknowledges the unexpected early trial-end and the resulting charge, and indicates someone will investigate without asserting that the trial period was correctly applied or wrongly truncated.","{""category"":""billing"",""reply"":""Thanks for reaching out and for providing the account details. We’ve received your message and will investigate the trial and charge timing to determine what happened.""}",0.725,"Acknowledges the message and indicates investigation, but doesn't explicitly mention the unexpected early trial-end or the resulting charge, making the acknowledgement somewhat generic.","Valid billing JSON with a 2-sentence investigative acknowledgement, though it is slightly less explicit about the trial ending early and resulting charge.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-013,gpt-5.4-mini-2026-03-17,batch,0.700,0.950,0.250,Reply acknowledges the dissatisfaction with prior handling and signals a serious internal review without promising a specific outcome or apportioning blame.,"{""category"":""complaint"",""reply"":""Thank you for reaching out and for bringing this to our attention. We’ve received your complaint and are reviewing the handling of your previous support ticket and follow-up to investigate what happened.""}",0.825,"Acknowledges the complaint and signals investigation without promising outcomes or blaming anyone, but doesn't explicitly acknowledge dissatisfaction or signal a 'serious internal review' — it's somewhat generic.",Valid JSON with correct category and a two-sentence reply that acknowledges the complaint and investigation without promises.,AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-013,gpt-5.4-2026-03-05,compression,0.750,1.000,0.250,Reply acknowledges the dissatisfaction with prior handling and signals a serious internal review without promising a specific outcome or apportioning blame.,"{""category"":""complaint"",""reply"":""We’ve received your message regarding the previous support ticket being closed without resolution and the lack of response to your follow-up email. We’re reviewing the history of your case and will investigate what happened.""}",0.875,"Acknowledges dissatisfaction with prior handling specifically, signals investigation without promising outcomes or blaming anyone, but could more explicitly signal a 'serious internal review'; clean JSON format.","Fully valid JSON with complaint category, two-sentence acknowledgement of the mishandling, and investigation without promises.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-013,gpt-5.4-mini-2026-03-17,compression,0.400,0.650,0.250,Reply acknowledges the dissatisfaction with prior handling and signals a serious internal review without promising a specific outcome or apportioning blame.,"{""category"":""complaint"",""reply"":""Thank you for reaching out and for following up on your support ticket. We’ve received your message and are looking into the issue further now.""}",0.525,Too generic - doesn't acknowledge the specific dissatisfaction with how the ticket was handled or signal a serious internal review; just says 'looking into the issue' which is vague.,"Valid and noncommittal, but it only generically acknowledges the ticket and lacks serious recognition of the prior poor handling.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-014,gpt-5.4-mini-2026-03-17,baseline,0.550,0.800,0.250,Reply acknowledges the data subject access request and indicates it will be routed to the appropriate team without committing to a specific timeline or scope.,"{""category"":""other"",""reply"":""Thank you for your request regarding access to your personal data, including any information shared with third-party processors. We have received your message and are reviewing it, and we will investigate the request and respond within the applicable timeframe.""}",0.675,"Acknowledges the DSAR and indicates investigation, but says 'respond within the applicable timeframe' which commits to a specific (legal) timeline rather than avoiding timeline commitments; also doesn't mention routing to appropriate team.","Valid JSON and acknowledges the request, but it does not mention routing to the appropriate team and implies a response timeframe.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-015,gpt-5.4-mini-2026-03-17,compression,0.550,0.800,0.250,"Reply acknowledges the request and the compliance use case, and indicates it will be shared with product without promising it will ship.","{""category"":""feature_request"",""reply"":""Thanks for reaching out and sharing this request. We’ve received your message and will review the need for an audit log API or web UI option for compliance and SIEM use.""}",0.675,"Correct category and acknowledges the request, but doesn't clearly mention sharing with product team and the acknowledgment of the compliance use case is somewhat indirect.","Correct JSON and category with acknowledgement of the API, SIEM, and compliance need, but only says it will be reviewed rather than shared with product.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-017,gpt-5.4-2026-03-05,output_cap,0.600,0.850,0.250,"Reply acknowledges the rendering bug, the reproduction context, and the time pressure, and indicates engineering will investigate without confirming the cause or promising a fix timeline.","{""category"":""technical"",""reply"":""Thanks for reporting this issue with the Billing > Invoices page and for including the details about your browser, devices, timing, and account. We’ve received your report and will investigate the intermittent blank page behavior further.""}",0.725,"Acknowledges the bug and reproduction context details, and indicates investigation, but does not acknowledge the customer's time pressure or urgency around quarter-end.","Valid JSON with correct category and strong acknowledgement of the bug and reproduction context, but it does not mention the customer's time pressure.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-019,gpt-5.4-2026-03-05,batch,0.700,0.950,0.250,"Reply acknowledges that multiple issues were raised and signals the overall experience is being taken seriously, without committing to specific outcomes on any one item or promising compensation.","{""category"":""other"",""reply"":""Thanks for reaching out and for outlining the invoice question, delayed SMS codes, and CSV import suggestion. We’ve received your message and will review the details you shared, including the overall experience with your account, as we investigate further.""}",0.825,"Acknowledges multiple issues and explicitly mentions the overall experience, signals investigation without committing; category 'other' is less fitting than 'complaint' but not unreasonable; good job referencing overall experience.",Valid JSON with a two-sentence reply that acknowledges all issues and the overall experience while only promising review/investigation.,AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
cs-019,gpt-5.4-mini-2026-03-17,output_cap,0.500,0.750,0.250,"Reply acknowledges that multiple issues were raised and signals the overall experience is being taken seriously, without committing to specific outcomes on any one item or promising compensation.","{""category"":""billing"",""reply"":""Thanks for reaching out and for outlining these issues so clearly. We’ve received your message and are investigating the invoice charge, the delayed SMS codes, and your CSV import suggestion now.""}",0.625,"Acknowledges multiple issues and signals investigation without commitments, but doesn't address the overall experience/frustration; category 'billing' is narrow for a multi-issue complaint email.","Valid JSON and two sentences acknowledge all items and investigation, but it underplays the overall experience and the billing category is debatable.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rag-003,claude-sonnet-4-6,compression,0.500,0.750,0.250,"Answer states 18 watts (or equivalent W unit) without confusing with idle draw, operating temperature, or other specs.","{""answer"": ""18 watts under full load"", ""supporting_sentences"": [6]}",0.625,Correct answer of 18 watts but cites sentence [6] (chassis dimensions) instead of the correct [8].,"The answer correctly states 18 watts under full load, but the supporting sentence index is incorrect.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rag-003,gpt-5.4-2026-03-05,compression,0.500,0.750,0.250,"Answer states 18 watts (or equivalent W unit) without confusing with idle draw, operating temperature, or other specs.","{""answer"":""18 watts under full load."",""supporting_sentences"":[13]}",0.625,Correct answer of 18 watts but cites sentence [13] (reset pinhole) instead of the correct [8].,"The answer correctly states 18 watts under full load, but the supporting sentence index is incorrect.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rag-003,gpt-5.4-mini-2026-03-17,compression,0.500,0.750,0.250,"Answer states 18 watts (or equivalent W unit) without confusing with idle draw, operating temperature, or other specs.","{""answer"":""18 watts under full load"",""supporting_sentences"":[1]}",0.625,Correct answer of 18 watts but cites sentence [1] instead of the correct [8]; answer portion is accurate.,"The answer correctly states 18 watts under full load, but the supporting sentence index is incorrect.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rag-004,claude-sonnet-4-6,compression,0.500,0.750,0.250,Answer names Sara Patel as the current managing director without confusing her with the predecessor Tom Riley.,"{""answer"": ""Sara Patel"", ""supporting_sentences"": [4]}",0.625,Correctly identifies Sara Patel but cites sentence 4 (about market positioning) which does not support the answer; sentence 6 would be correct.,It correctly names Sara Patel but cites an unsupported sentence index instead of sentence 6.,AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rag-007,claude-sonnet-4-6,compression,0.500,0.750,0.250,Answer gives the date 12 February 2026 (or equivalent format) without speculating beyond what the context supports.,"{""answer"": ""12 February 2026"", ""supporting_sentences"": [8]}",0.625,Correct date but cites wrong supporting sentence [8] instead of [6].,"Correct date is given, but the cited sentence does not support the release date.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rag-020,claude-haiku-4-5,compression,0.900,0.650,0.250,"Answer correctly states the affected range (2.4.0 to 2.6.1 inclusive) AND both unaffected ranges (2.3.x or earlier, and 2.6.2 or later); should not omit either side of the unaffected range, conflate with the unrelated ASA-2026-002 advisory's 2.5.0-2.5.4 range, or include incorrect versions.","```json
{
  ""answer"": ""Affected versions: 2.4.0 through 2.6.1 inclusive. Not affected versions: 2.3.x, 2.6.2 and later."",
  ""supporting_sentences"": [1, 7, 8]
}
```",0.775,"Correctly identifies affected (2.4.0-2.6.1 inclusive) and unaffected versions (2.3.x, 2.6.2+) with relevant supporting sentences. Minor issue: doesn't explicitly say '2.3.x or earlier' but the answer is substantively correct. Has markdown fences.",It gives the affected range and two unaffected version lines but omits 'or earlier' and violates the required JSON-only format with code fences.,AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rea-001,claude-sonnet-4-6,output_cap,0.950,0.700,0.250,"Reasoning must (a) identify the number of unused days in April after the 16th (14 days), (b) compute the daily rate as £30/30 = £1, and (c) multiply unused days by daily rate to give £14.00.","I need to find the unused portion of April after cancellation on 16 April.

**Step 1: Determine used days**
- The cancellation day (16 April) counts as used.
- Used days: 1 April through 16 April = 16 days

**Step 2: Determine unused days**
- Total days in April: 30
- Unused days: 30 - 16 = 14 days

**Step 3: Calculate daily rate**
- £30 ÷ 30 days = £1.00 per day

**Step 4: Calculate refund**
- 14 unused days × £1.00 = **£14.00**

The refund should be **£14.00**.

{""reasoning"": ""Used days: 1 April to 16 April inclusive = 16 days (cancellation",0.825,"Correctly identifies 14 unused days, £1 daily rate, and £14.00 refund, but the response is cut off and doesn't complete the required JSON format properly.","Correctly identifies unused days, daily rate, and refund, but violates the required JSON-only format and appears truncated/malformed.",AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
rea-003,gpt-5.4-2026-03-05,compression,0.000,0.250,0.250,"Reasoning must (a) compute the end time of Task X as 12:00, (b) recognise Task Y starts immediately after at 12:00, and (c) conclude Y completes at 14:00.","{""reasoning"":""Let X start at 09:00. X takes 3 hours, so X finishes at 12:00. Y finishes 2 hours before X finishes, so Y must finish at 10:00."",""final_answer"":""10:00""}",0.125,"Completely misinterprets the problem, claiming Y finishes before X, arriving at 10:00 which is wrong.",Computes X ends at 12:00 but reverses the dependency and gives an incorrect final time.,AUTO: median canonical (|Δ|=0.250 < 0.3 threshold),median_canonical_auto
